TxId;date;count_event;LocationID;city;region;country;OrderValue
00000102;01.07.2021;Hamburg|Hamburg|Germany;1;Hamburg;Hamburg;Germany;34,18
00000103;01.07.2021;Hamburg|Hamburg|Germany;1;Hamburg;Hamburg;Germany;16,99
00000104;01.07.2021;Trier|Rhineland-Palatinate|Germany;2;Trier;Rhineland-Palatinate;Germany;37,02
00000105;01.07.2021;Trier|Rhineland-Palatinate|Germany;2;Trier;Rhineland-Palatinate;Germany;79,79
00000106;01.07.2021;Trier|Rhineland-Palatinate|Germany;2;Trier;Rhineland-Palatinate;Germany;34,36
00000107;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;1,34
00000108;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;39,28
00000109;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;10,15
00000110;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;57,72
00000111;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;0,95
00000112;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;64,32
00000113;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;25,2
00000114;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;41,79
00000115;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;14,12
00000116;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;18,51
00000117;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;77,03
00000118;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;44,28
00000119;01.07.2021;Graz|Styria|Austria;4;Graz;Styria;Austria;25,69
00000120;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;47,53
00000121;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;81,58
00000122;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;49,45
00000123;01.07.2021;Muhlhausen|Thuringia|Germany;3;Muhlhausen;Thuringia;Germany;1,19
